"docty","docdt","display_title","projectid","txturl","pdfurl","repnb","prdln","projn","id","preprim","tarl","stped","docyear","totalchar","mainsec","anyBB","anyBB_nopreprim","boardapprovaldate","curr_total_commitment","sector1"
"Project Appraisal Document","1999-11-15T00:00:00Z","India - Uttar Pradesh Third District Primary Education Project","P050667","http://documents.worldbank.org/curated/en/630021468750265112/text/multi-page.txt",NA,"19822",NA,"IN-Uttar Pradesh Third District Primary
            Education Project -- P050667","439482",0,0,0,1999,231655,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-07-25T00:00:00Z","India - Third Technician Education Project","P050658","http://documents.worldbank.org/curated/en/354771468772739447/text/multi-page.txt",NA,"20298",NA,"IN-Third Technician Education Project -- P050658","692817",0,0,0,2000,236305,1,0,0,NA,NA,NA
"Project Appraisal Document","2004-02-03T00:00:00Z","Ghana - Education Sector Project","P050620","http://documents.worldbank.org/curated/en/144341468751787623/text/260900GH.txt",NA,"26090",NA,"GH-Education Sector Project -- P050620","2958154",0,0,0,2004,315242,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-08-10T00:00:00Z","Nicaragua - Second Basic Education Project","P050613","http://documents.worldbank.org/curated/en/209511468775815823/text/multi-page.txt",NA,"19560",NA,"NI-Second Basic Education Project -- P050613","439718",0,0,0,1999,259996,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-03-03T00:00:00Z","Cambodia - Social Fund II Project","P050601","http://documents.worldbank.org/curated/en/932001468769834027/text/multi-page.txt",NA,"18979",NA,"KH-Social Fund II Project -- P050601","442357",0,0,0,1999,77230,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-03-10T00:00:00Z","Colombia - Rural Education Project","P050578","http://documents.worldbank.org/curated/en/337641468770421159/text/multi-page.txt",NA,"20099",NA,"CO-Rural Education Project -- P050578","437978",0,0,0,2000,246967,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-03-22T00:00:00Z","Egypt - Secondary Education Enhancement Project","P050484","http://documents.worldbank.org/curated/en/519221468773401964/text/multi-page.txt",NA,"18923",NA,"EG-Secondary Education Enhancement Project
            -- P050484","441519",0,0,0,1999,265397,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-02-29T00:00:00Z","Yemen - Child Development Project","P050483","http://documents.worldbank.org/curated/en/841241468764089167/text/multi-page.txt",NA,"19461",NA,"RY-Child Development -- P050483","438173",0,0,0,2000,238776,0,0,0,NA,NA,NA
"Project Appraisal Document","2001-04-30T00:00:00Z","Russia - Education Reform Project","P050474","http://documents.worldbank.org/curated/en/743531468759300039/text/multi0page.txt",NA,"21782",NA,"RU-Education Reform Project -- P050474","1121181",0,0,0,2001,218590,1,0,0,NA,NA,NA
"Project Appraisal Document","1997-12-10T00:00:00Z","Eritrea - Human Resources Development Project","P050354","http://documents.worldbank.org/curated/en/686181468770706216/text/multi-page.txt",NA,"17001",NA,"ER-Human Resource Development Project -- P050354","693847",0,0,0,1997,90840,0,0,0,NA,NA,NA
